# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Code associated to evidence
## (2) Name of the Evidence
## (3) Group of the evidence (Code rule)
## (4) Confidence Level of the evidence
## (5) Object(s) were this evidence appears (Promoter,Transcription Units,Regulatory Interactions,Transcription Factors)
## (6) Category of the Evidence
1)evidence_code	2)evidence_name	3)evidence_group	4)confidence_level	5)object_type	6)evidence_category 
EV-EXP-IEP-QRTPCR	Quantitative reverse transcription polymerase chain reaction evidence			Transcription Units|Regulatory Interactions	 
EV-EXP-IEP-NORTHERN	Northern blot for expression pattern analysis evidence			Promoter|Regulatory Interactions	 
COMP-AINF-PATTERN-DISCOVERY	Automated inference based on sequence pattern discovery	7	W	Promoter|Regulatory Interactions	non-experimental 
EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA	Electrophoretic mobility shift assay with purified protein evidence			Regulatory Interactions|Transcription Factors	 
EV-EXP-IEP-RTPCR	Reverse transcription polymerase chain reaction evidence			Transcription Units|Regulatory Interactions	 
EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP	High-throughput ChIP-chip evidence	4	W	Regulatory Interactions	High-throughput binding 
EV-EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION	Primer extension assay evidence for expression pattern analysis			Regulatory Interactions	 
EV-HTP-HDA-DAP-SEQ	High-throughput DNA affinity purification (DAP) sequencing			Regulatory Interactions	 
COMP-HINF-FN-FROM-SEQ	Human inference of function from sequence		W	Regulatory Interactions|Transcription Factors	non-experimental 
EXP-IPI	Inferred from physical interaction		W	Promoter|Regulatory Interactions|Transcription Factors	Classical experiment 
EXP-HTP-HDA-NUC-ACID-BINDING	Inferred from high throughput direct assay		W	Regulatory Interactions	High-throughput protocol 
EXP-IMP-POLAR-MUTATION	Polar mutation	12	S	Transcription Units	Classical experiment 
EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO	High-throughput ChIP-exo evidence	4	W	Regulatory Interactions	High-throughput binding 
EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP	High-throughput transcription initiation mapping	10	W	Promoter	High-throughput protocol 
ND	No biological data available		W	Transcription Units	non-experimental 
EXP-IDA-PURIFIED-PROTEIN	Assay of protein purified  to homogeneity		W	Regulatory Interactions|Transcription Factors	Classical binding 
EV-EXP-IEP-GFP	Green fluorescent protein reporter gene assay evidence			Regulatory Interactions	 
EV-EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA	Electrophoretic mobility shift assay with cellular extracts evidence			Regulatory Interactions	 
EV-HTP-HDA-3D-SEQ	High-throughput 3D-seq DNA-protein interaction mapping evidence			Regulatory Interactions	 
HTP-HEP	Inferred from high throughput expression pattern		W	Transcription Units	High-throughput protocol 
EV-HTP-HEP-SEND-RNA-SEQ	High-throughput simultaneous 5' and 3' end RNA sequencing evidence			Promoter|Transcription Units	 
COMP-AINF-FN-FROM-SEQ	Automated inference of function from sequence		W	Transcription Factors	non-experimental 
COMP-HINF-ISM	Inferred from Sequence Model		W	Transcription Factors	non-experimental 
EXP-IDA-PART-PURIFIED-PROTEIN-NH	Assay of protein partially-purified from its native host		W	Transcription Factors	Classical experiment 
AS-TAS	Traceable author statement		W	Promoter|Transcription Units|Regulatory Interactions	non-experimental 
COMP-HINF-ISA	Inferred from Sequence Alignment		W	Regulatory Interactions|Transcription Factors	non-experimental 
EV-EXP-IDA-IN-VITRO-TRANSCRIPTION	in vitro transcription reconstitution assay evidence			Promoter	 
EXP-IMP-REACTION-BLOCKED	Reaction blocked in mutant		W	Regulatory Interactions	Classical binding 
IC-ADJ-GENES-SAME-BIO-PROCESS	Products of adjacent genes in the same biological process		W	Transcription Units	non-experimental 
EXP-IDA-UNPURIFIED-PROTEIN-NH	Assay of unpurified protein expressed in its native host		W	Transcription Factors	Classical experiment 
EXP-IMP	Inferred from mutant phenotype		W	Promoter|Transcription Units|Regulatory Interactions|Transcription Factors	Classical binding 
EXP-IDA-TRANSCRIPT-LEN-DETERMINATION	Length of transcript experimentally determined	11	S	Transcription Units	Classical experiment 
EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP	High-throughput genomic SELEX-chip evidence	5	W	Regulatory Interactions	High-throughput binding 
EV-EXP-IDA-TRANSCRIPT-LEN-DETERMINATION-NORTHERN	Northern blot for transcription unit length determination evidence			Transcription Units	 
AS-HYPO	Author hypothesis		W	Promoter|Transcription Units|Regulatory Interactions	non-experimental 
EXP-IEP	Inferred from expression pattern	8	W	Promoter|Transcription Units|Regulatory Interactions|Transcription Factors	Classical expression 
EXP-IDA-PART-PURIFIED-PROTEIN	Assay of partially-purified protein 		W	Transcription Factors	Classical experiment 
EXP-IEP-GENE-EXPRESSION-ANALYSIS	Gene expression analysis	8	W	Regulatory Interactions|Transcription Factors	Classical expression 
AS-NAS	Non-traceable author statement		W	Promoter|Transcription Units|Regulatory Interactions	non-experimental 
COMP-HINF-IGC	Inferred from genomic context		W	Transcription Units	non-experimental 
EXP-IDA-PART-PURIFIED-PROTEIN-HH	Assay of protein partially-purified from a heterologous host		W	Transcription Factors	Classical experiment 
EXP-IDA-BINDING-OF-PURIFIED-PROTEINS	Binding of purified proteins	2	S	Regulatory Interactions|Transcription Factors	Classical binding
