pathway_id,pathway_name,source,description,organism
ecocyc.PWY-7181,pyrimidine deoxyribonucleosides degradation,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY-6708,ubiquinol-8 biosynthesis (early decarboxylation),EcoCyc,"General Background Ubiquinone (also known as coenzyme Q) is an isoprenoid quinone that functions as an electron carrier in both prokaryotic and eukaryotic membranes. In E. coli and most other Gram-negative facultative anaerobes, it is one of three major isoprenoid quinones along with demethylmenaquinone and menaquinone (see pathways PWY-5852 and MENAQUINONESYN-PWY). Each quinone is required for respiration using different, but overlapping subsets of final electron acceptors. In E. coli, the quinone nucleus of ubiquinone is derived directly from 4-hydroxybenzoate, while the isoprenoid subunits of the polyisoprenoid tail are originally derived from the methylerythritol phosphate pathway (as indicated in the pathway links). The number of isoprenoid subunits in the ubiquinone side chain varies in different species. The number is determined by the specific polyprenyl diphosphate synthase (see CPLX0-7426). For example, E. coli K-12 ubiquinone contains eight isoprenoid units, Saccharomyces ce",Escherichia coli K-12 MG1655
ecocyc.PWY0-1518,chemotaxis signal transduction,EcoCyc,"E. coli movement is typically described as a random three-dimensional walk in which runs of movement in a straight line are punctuated by tumbles as the cell briefly stops and randomly reorients before moving off again. This swimming/tumbling behaviour results from alternating clockwise (tumbling behavior) and counterclockwise (straight swimming behavior) flagellar rotation. Chemotaxis is the ability of E. coli to move or 'swim' towards or away from specific chemical attractants and repellents and is achieved by regulating the probability of CW and CCW flagella rotation via a modified two-component signal transduction pathway - the chemotactic signal transduction pathway. Pathway components include the dual function histidine kinase CHEA-CPLX ""CheA"", the response regulators CHEY-MONOMER ""CheY"" and CHEB-MONOMER ""CheB"", plus CHEW-MONOMER ""CheW"", CHER-MONOMER ""CheR"", and the transmembrane receptor proteins. CheA is a dual function cytoplasmic histidine kinase which, in conjunction with on",Escherichia coli K-12 MG1655
ecocyc.PWY0-522,lipoate salvage I,EcoCyc,"About lipoate Lipoate is a sulfur-containing cofactor found in many prokaryotic and eukaryotic organisms. It is utilized by several enzymes involved in oxidative metabolism, including PYRUVATEDEH-CPLX , 2OXOGLUTARATEDEH-CPLX , branched-chain ketoacid dehydrogenase , and the GCVMULTI-CPLX . Each of these enzyme complexes is composed of multiple copies of three enzymes: a substrate-specific decarboxylase-dehydrogenase (E1), a dihydrolipoamide acyltransferase (E2) specific for each type of complex, and a dihydrolipoamide dehydrogenase (E3), a flavoprotein that is a common component of these multienzyme complexes. E1 catalyzes both the decarboxylation of the α-keto acid and the subsequent reductive acylation of the lipoyl moiety, which is covalently bound to E2. E2 catalyzes the acyl transfer step, and E3 catalyzes the reoxidation of the dihydrolipoyl moiety with NAD as the ultimate electron acceptor . The lipoate cofactor is bound to the E2 by an amide linkage between its carboxylate moie",Escherichia coli K-12 MG1655
ecocyc.PWY-7805,(aminomethyl)phosphonate degradation,EcoCyc,"CPD0-1074 ""Aminomethylphosphonate"" (AMPA) is a phosphonate that can be metabolized by a wide variety of microorganisms. It is the primary degradation product of CPD0-1308 (N-(phosphonomethyl)glycine), the most commonly used broad-spectrum systemic herbicide in the world, and glyphosate degradation is the primary source of AMPA in the environment . E. coli and many other organisms can utilize organophosphonates, which are compounds with a direct carbon-phosphorous (C-P) bond, as the sole source of phosphorous . C-P bonds are much more stable than the C-O-P phosphoester bonds of phosphates . AMPA is imported into bacterial cells by an ATP-binding cassette (ABC) transport system. The utilization of phosphonates as the sole source of phosphate is ""cryptic"" in E. coli K-12 due to an 8 bp insertion in the EG11283 phnE ORF that leads to a frameshift and premature termination of translation of this transporter component. However, spontanteous revertants that have lost the 8 bp insertion can be",Escherichia coli K-12 MG1655
ecocyc.GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1578,hydrogen to trimethylamine N-oxide electron transfer,EcoCyc,"Hydrogen dependent reduction of trimethyamine N-oxide (TMAO) has been described in E. coli K-10 and in the K-12 derived sub-strain AN387 . E. coli K-12 contains two membrane bound, H(2) uptake hydrogenases - FORMHYDROGI-CPLX ""hydrogenase 1"" (Hyd1) and hydrogenase 2 (Hyd 2). Hydrogenase 2 (shown in this pathway) is a standard O2 sensitive hydrogenase and is the major hydrogenase during anaerobic respiration with hydrogen and fumarate while Hyd 1 is an O2 tolerant hydrogenase whose physiological function is not yet clearly defined (see for example . E. coli K-12 also contains two TMAO reductases: the inducible enzyme encoded by torA (shown in this pathway), and a second TMAO reductase encoded by G7022-MONOMER ""torZ"" which has low constitutive expression and is not induced by TMAO or dimethyl sulfoxide . TMAO reductase does not contribute to proton potential (see review by ). Hyd 2 is presumed to be an energy conserving enzyme (see ). H2-dependent reduction of the quinol analogs, menadion",Escherichia coli K-12 MG1655
ecocyc.AST-PWY,L-arginine degradation II (AST pathway),EcoCyc,"This pathway (called the AST pathway for its crucial enzyme, ARGSUCCTRAN-MONOMER) is the major arginine-degrading pathway found in E. coli. It yields 2 molecules of ammonia and 2 of glutamate and can satisfy E. coli's total nitrogen requirement, but not its total carbon requirement. This pathway does, however, permit other organisms, for example Klebsiella aerogenes, to utilize arginine as a total source of carbon. With the exception of CPLX0-7947 and SUCCORNTRANSAM-CPLX ""succinylornithine transaminase"", enzymes of this pathway from E. coli have not been characterized beyond assaying crude extracts. Succinylornithine transaminase gained special attention and was originally designated as argM because is can substitute for acetylornithine transaminase (encoded by argD) in the biosynthesis of arginine. The substrates of the two enzymes differ only in ornithine's being acetylated in the biosynthetic pathway and succinylated in the degradative pathway. Reviews: Reitzer, L. (2005) ""Catabolis",Escherichia coli K-12 MG1655
ecocyc.PWY0-1576,hydrogen to fumarate electron transfer,EcoCyc,"In the respiratory chain formed by hydrogenase and fumarate reductase, the oxidation of hydrogen in the periplasm of E. coli K-12 is coupled to the reduction of fumarate in the cytoplasm. H2-dependent reduction of fumarate in spheroplasts from the E. coli K-12 strain A1002 is coupled to translocation of protons across the cytoplasmic membrane . E. coli K-12 contains two membrane bound, H(2) uptake hydrogenases - FORMHYDROGI-CPLX ""hydrogenase 1"" (Hyd1) and hydrogenase 2 (Hyd2). Hydrogenase 2 (shown in this pathway) is the major hydrogenase when cells respire with H(2) and fumarate . Fumarate reductase does not contribute to the generation of proton potential . Hyd 2 is presumed to be an energy conserving enzyme (see ). H2-dependent reduction of the quinol analogs, menadione, and ubiquinone-1, in E. coli spheroplasts is coupled to a protonophore-sensitive, proton translocation with H+/2e- stoichiometry of approx. 2 . Both menaquinone (shown here) and demethylmenaquinone can operate in hy",Escherichia coli K-12 MG1655
ecocyc.ACETATEUTIL-PWY,superpathway of acetate utilization and formation,EcoCyc,"Acetate plays multiple roles in the metabolism of E. coli. In the absence of other substrates acetate can serve as a total source of carbon and energy (see PWY0-1313). During sugar fermentation (under anaerobic conditions), acetate is produced and excreted into the medium (by a mechanism that is not yet clearly established) as a major fermentation product. Acetate is also produced during aerobic growth in the presence of glucose. Again, acetate is excreted in significant amounts into the medium, usually to be utilized later, when glucose is depleted. All these transformations of acetate flow through one or the other of the two parallel pathways shown here. The ack-pta pathway, which is constitutively expressed, participates the aerobic utilization of acetate and in its excretion both aerobically and anaerobically. In contrast the acs pathway is an inducible pathway that plays a major role in the aerobic utilization of acetate. Because it is a high-affinity system, the acs pathway is th",Escherichia coli K-12 MG1655
ecocyc.PWY-6163,chorismate biosynthesis from 3-dehydroquinate,EcoCyc,"Background In this pathway chorismate is synthesized from DEHYDROQUINATE. The pathway is found in prokaryotes (both bacteria and archaea) and several eukaryotes, including ascomycete fungi, apicomplexans, plants and algae . However, its starting point, DEHYDROQUINATE, can be synthesized in different routes. In most microorganisms, including E. coli, it is synthesized from ERYTHROSE-4P (see PWY-6164). CHORISMATE ""Chorismate"" is an intermediate in the synthesis of the three aromatic amino acids: PHE, TYR and TRP. These amino acids serve as substrates in other pathways for secondary metabolites such as alkaloids, flavonoids, lignin, coumarin, indole derivatives and other phenolic compounds . SHIKIMATE ""Shikimate"" is an important intermediate in the chorismate biosynthetic pathway. It was first isolated from Japanese star anise. Shikimate is used for the production of some antiviral drugs used to halt the spread of the flu virus, but as a biosynthetic intermediate, it is usually not found ",Escherichia coli K-12 MG1655
ecocyc.PWY-6285,superpathway of fatty acids biosynthesis (E. coli),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.MANNCAT-PWY,D-mannose degradation I,EcoCyc,"D-mannose can serve as a total source of carbon and energy for growth of E. coli. Because mannose is taken up via a phosphotransferase system (PTS), the first intracellular species is D-mannose-6-phosphate. MANNPISOM-MONOMER converts D-mannose-6-phosphate to D-fructose-6-phosphate, an intermediate of glycolysis, and hence it flows through the pathways of central metabolism to satisfy the cell's need for precursor metabolites, reducing power, and metabolic energy. Utilization of mannose by E. coli does not require an inducer. Review: Mayer, C. and W. Boos, Hexose/Pentose and Hexitol/Pentitol Metabolism. EcoSal Module 3.4.1",Escherichia coli K-12 MG1655
ecocyc.PWY0-1477,ethanolamine utilization,EcoCyc,E. coli can utilize ethanolamine as the sole source of nitrogen and carbon in the presence of external vitamin B12 . The requirement for a carboxysome-like structure to contain the metabolic enzymes and volatile reaction products has been studied in Salmonella enterica . Further catabolism of acetaldehyde may be accomplished by a CoA-dependent aldehyde dehydrogenase via acetyl-CoA .,Escherichia coli K-12 MG1655
ecocyc.PWY0-1546,muropeptide degradation,EcoCyc,"E. coli reutilizes most of the products of peptidoglycan turnover . However, the complete degradation of muropeptides to its component amino acids, shown here, constitutes only a minor pathway. Most of the murein tripeptide is utilized by EG12440-MONOMER ""Mpl"" to form the peptidoglycan biosynthesis intermediate UDP-MurNAc-tripeptide. Review:",Escherichia coli K-12 MG1655
ecocyc.PWY-5516,D-xylose degradation II,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.COBALSYN-PWY,superpathway of adenosylcobalamin salvage from cobinamide I,EcoCyc,"The B12 group of coenzymes is defined by the presence of a corrin ring structure which consists of a central cobalt atom coordinated by 4 pyrrole groups, an upper (β) axial ligand and a lower (α) axial ligand. This pathway depicts the synthesis of adenosylcobalamin (AdoCbl), containing 5'-deoxyadenosine as the β ligand and 5,6-dimethylbenzimidazole (DMB) as the α ligand. Other physiologically relevant forms of coenzyme B12 with different α and β ligands have been described (for example CPD-9037, CPD0-1256 and CPD-17189) (reviewed in . De novo synthesis of cobamides requires a great deal of genetic information, which is only found in some prokaryotes. E. coli K-12 does not have the full genetic information required for de novo biosynthesis of ADENOSYLCOBALAMIN, but can synthesize AdoCbl when supplied with exogenous corrinoids, such as COBINAMIDE (Cbi) - an incomplete corrinoid that lacks the upper and lower axial ligands and is not a true intermediate of the de novo pathway . This pathw",Escherichia coli K-12 MG1655
ecocyc.PWY-5705,allantoin degradation to glyoxylate III,EcoCyc,"General Background ALLANTOIN ""Allantoin"" is a common product of purine degradation. Allantoin is rich in nitrogen, and many organisms are able to degrade and recycle it. Some bacteria, including TAX-1458, TAX-80866 and TAX-264198, do so under aerobic conditions, while others such as TAX-83333, ORG-5985 and TAX-587 do so only anaerobically. Allantoin degradation is not limited to bacteria. Ureide-transporting plants convert fixed nitrogen in their roots to ALLANTOIN and ALLANTOATE, which are then transported to upper parts of the plant, where they are degraded to release the nitrogen. In addition, some fungi and animals also degrade allantoin. The first step of the pathway, catalyzed by CPLX-64, comprises the hydrolysis of the internal amide bond of S-ALLANTOIN, forming ALLANTOATE . This enzyme turned out to be common to all organisms that can degrade allantoin, and is the first step in all allantoin degradation pathways. ALLANTOATE ""Allantoate"" is converted to CPD0-2298 via one of two ",Escherichia coli K-12 MG1655
ecocyc.PWY0-1623,polycistronic tRNA processing II,EcoCyc,"tRNAs are the molecular adapters that bring the correct amino acid to the ribosome enabling the synthesis of proteins based on mRNA sequences transcribed from protein-coding genes. The active form of tRNA is generated by a combination of nuclease-based processing, modification of select nucleosides, and finally charging via the tRNA charging pathway. tRNA processing is a multi-step pathway carried out by a mix of endonucleases and exonucleases; the specific mix depends on the tRNA being processed. Genes encoding the 86 tRNAs in TAX-562 are located by themselves (monocistronic) or with other tRNAs and rRNA coding genes, and a few protein with coding genes, in polycistronic operons. Regardless of the operon, all tRNA genes have additional nucleotides at both their 5' and 3' ends and use CPLX0-3461 and/or CPLX0-1382 for initial nucleolytic cleavage of these ends via tRNA maturation processing pathways; additional nucleotides left at either end are removed by a mix of these and other nucle",Escherichia coli K-12 MG1655
ecocyc.PWY0-1591,glycerol-3-phosphate to hydrogen peroxide electron transport,EcoCyc,"In the anaerobic respiratory chain formed by glycerol-3-phosphate (G3P) dehydrogenase and cytochrome c peroxidase (CCP) the oxidation of sn-glycerol-3-phosphate in the cytoplasm is coupled to the reduction of H2O2 in the periplasm via the membrane menaquinone pool. CCP supports respiratory growth in anoxic glycerol medium using H2O2 as the terminal electron acceptor . E. coli K-12 contains two G3P dehydrogenases, encoded by the glpABC and glpD genes. GlpABC, commonly referred to as anaerobic G3P dehydrogenase is depicted in this pathway although its involvement has not been experimentally confirmed. CCP derives electrons directly from the quinone pool; a mutant strain which is unable to synthesize menaquinone, shows a significant reduction in H2O2 scavenging during anaerobic growth in LB medium, whilst a strain lacking both ubiquinones and menaquinones is essentially devoid of this activity . The energetics of this pathway are not known.",Escherichia coli K-12 MG1655
ecocyc.ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),EcoCyc,"General Background The biosynthesis of L-arginine in both prokaryotes and eukaryotes is notable for its complexity and variability at the genetic level, and by its connection with several other pathways, such as pyrimidine and polyamine biosynthesis and certain degradative pathways. In Escherichia coli the L-arginine biosynthetic genes are scattered in several units of expression on the chromosome and are not strictly coordinated. Synthesis of the L-arginine biosynthetic enzymes is repressed by L-arginine under control of the arginine repressor encoded by the argR gene, forming the arginine regulon . In stationary phase cultures, positive control by RpoS is also required for full control of arginine biosynthesis . The initial steps in the L-arginine biosynthesis pathway proceed via N-acetylated intermediates to L-ornithine, as shown here and in pathway GLUTORN-PWY. The presumed reason for the acetylation is that it prevents the spontaneous cyclization of L-glutamate derivatives, which ",Escherichia coli K-12 MG1655
ecocyc.PWY-6628,superpathway of L-phenylalanine biosynthesis,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1569,autoinducer AI-2 degradation,EcoCyc,"Cell-to-cell communication in bacteria is accomplished through the exchange of extracellular signaling molecules called autoinducers. This process, termed quorum sensing, allows bacterial populations to coordinate gene expression as a function of cell density. Many processes benefit from community cooperation, including bioluminescence, virulence factor expression, antibiotic production and biofilm development. One of the paradigms of quorum sensing is that the signaling molecule accumulates in the extracellular medium. However, some bacteria, including Escherichia coli, can take up and degrade the autoinducer AI-2. The role of this process in the context of its natural multi-organism habitat is not fully understood yet. About This Pathway The AI-2 degradation pathway has been elucidated in E. coli. The expression of transmembrane transporter proteins and degradation enzymes is regulated by the presence of AI-2. After uptake, AI-2 kinase phosphorylates AI-2 to 5-phospho-AI-2. This prod",Escherichia coli K-12 MG1655
ecocyc.PWY0-1466,trehalose degradation VI (periplasmic),EcoCyc,"General Background There are several alternative pathways for the degradation of trehalose. Depending on the organism and the particular environmental conditions, trehalose may be broken down outside of the cytoplasm, enter the cell either through a permease, in which case it remains unmodified, or it may be transported by a phosphotransferase system (PTS), resulting in the phosphorylated trehalose-6-phosphate form. Degradation can proceed by different mechanisms: Unmodified trehalose may be degraded by a hydrolyzing trehalase (see PWY0-1182 and PWY0-1466), or it may be split by the action of a trehalose phosphorylase (see PWY-2722 and PWY-2723). Likewise, trehalose-6-phosphate may be either hydrolyzed by trehalose-6-phosphate hydrolase (see TREDEGLOW-PWY) or it could be attacked by a trehalose-6-phosphate phosphorylase (see PWY-2721). About This Pathway Trehalase enzymes of the GH37 family of glycoside hydrolases hydrolyze a molecule of TREHALOSE into two molecules of glucose with inv",Escherichia coli K-12 MG1655
ecocyc.PWY-7194,pyrimidine nucleobases salvage II,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1544,proline to cytochrome bo oxidase electron transfer,EcoCyc,"In the respiratory chain formed by proline dehydrogenase and cytochrome bo oxidase the transfer of electrons from proline to cytochrome bo oxidase is coupled to the generation of a proton-motive force across the cytoplasmic membrane . The H+/e- ratio of proline dehydrogenase has not been determined; cytochrome bo oxidase catalyses both vectorial and scalar proton translocation . Proline dehydrogenase functions as both a membrane associated bifunctional dehydrogenase and a cytosolic transcriptional repressor, switching between the two functions in response to proline availability (reviewed in ). Proline reduction of the PutA FAD cofactor induces PutA membrane binding wherupon electrons can be transferred to ubiquinone in the cytoplasmic membrane . Cytochrome bo oxidase is expressed when levels of oxygen are high unlike CYT-D-UBIOX-CPLX ""cytochrome bd oxidase"" (not shown) which is expressed under oxygen-limiting conditions .",Escherichia coli K-12 MG1655
ecocyc.PWY-8533,ubiquinol-8 biosynthesis (anaerobic),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.GLUTAMINDEG-PWY,L-glutamine degradation I,EcoCyc,"Wild-type E. coli K-12 grows only poorly on glutamine as the sole source of carbon, although mutants that gain the ability to utilize glutamine can be isolated easily . In contrast, glutamine supports rapid growth as the sole source of nitrogen, although growth is biphasic with a transition in mid-log phase . No mutants unable to utilize glutamine as the sole source of nitrogen have been identified. Two enzymes able to degrade glutamine, GLUTAMINA-CPLX and GLUTAMINB-CPLX, were purified from E. coli B; no mutants were identified at the time, and thus the identity of the genes encoding them has not been established. Recently, two genes encoding glutaminases with properties resembling those of glutaminase A and B have been identified in E. coli K-12 . Review: Reitzer, L., Catabolism of Amino Acids and Related Compounds, Module 3.4.7",Escherichia coli K-12 MG1655
ecocyc.PWY0-1280,ethylene glycol degradation,EcoCyc,"Although wild-type E. coli is unable to utilize ethylene glycol as a carbon source, mutant strains can be isolated that can utilize it. Such strains carry two regulatory mutations: one that elevates the levels of propanediol oxidoreductase, the normal function of which is to metabolize propanediol, and the other that elevates the levels of aldehyde reductases, an enzyme of low specificity which participates in the degradation of fucose . Mutations that allow for biotechnological production of glycolate have been identified . Review: Clark, D.P. and J. E. Cronan, EcoSal Module 3.4.4",Escherichia coli K-12 MG1655
ecocyc.PWY-7247,β-D-glucuronide and D-glucuronate degradation,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1221,putrescine degradation II,EcoCyc,"General Backround Polyamines (the most common of which are PUTRESCINE, SPERMIDINE, and SPERMINE), a group of positively charged small molecules present in virtually all living organisms, have been implicated in many biological processes, including binding to nucleic acids, stabilizing membranes, and stimulating several enzymes . Although polyamines are clearly necessary for optimal cell growth, a surplus of polyamines can cause inhibition of growth and protein synthesis , and thus a balance is desired between the production and breakdown of polyamines. Putrescine catabolism appears to be important for responding to a variety of stresses. An E. coli strain that lacks both PUTDEG-PWY and PWY0-1221 pathways has a severe growth defect under oxidative stress conditions, and shows impaired growth at high temperature or sublethal antibiotic concentrations . About This Pathway Several metabolic pathways for putrescine degradation as a source of nitrogen for E. coli K-12 are known. The first pu",Escherichia coli K-12 MG1655
ecocyc.GLYOXYLATE-BYPASS,glyoxylate cycle,EcoCyc,"The glyoxylate cycle is a sequence of anaplerotic reactions that enables an organism to use substrates that enter central carbon metabolism at the level of ACETYL-COA as the sole carbon source. Such substrates include fatty acids, alcohols, and esters (often the products of fermentation), as well as waxes, alkenes, and methylated compounds. The pathway is essentially a modified version of the TCA that bypasses those steps in the cycle that lead to a loss of CARBON-DIOXIDE. The glyoxylate cycle uses a two-step bypass. The first key enzyme, ISOCIT-LYASE (EC 4.1.3.1), converts THREO-DS-ISO-CITRATE to form SUC and GLYOX. The second key enzyme, MALATE-SYNTHASE (EC 2.3.3.9), condenses glyoxylate and another molecule of acetyl-CoA to form MAL. The subsequent oxidation of malate regenerates the initial acetyl-CoA acceptor molecule of the TCA cycle, OXALACETIC_ACID. In this way any intermediate of the TCA cycle can be withdrawn from the cycle and used for cell carbon biosynthesis. In Escherichi",Escherichia coli K-12 MG1655
ecocyc.PWY0-1527,curcumin degradation,EcoCyc,"General Background Curcumin and other curcuminoids are plant secondary metabolites produced by Curcuma longa (turmeric) (see MetaCyc pathway PWY-6432). Curcumin is the main yellow pigment of turmeric which is used as a spice and a pigment. In addition, curcumin has a range of medicinal properties including antioxidant, anti-inflammatory, anticancer and analgesic. Curcumin metabolism has been studied in humans and rodents and the production of reduced dihydro-, tetrahydro-, hexahydro- and octahydrocurcumin derivatives has been identified, with tetrahydrocurcumin and hexahydrocurcumin being the major products. These reduced curcumin derivatives may then be conjugated to form glucuronides, sulfates, or mixed glucuronides/sulfates. However, the mammalian enzymes and their encoding genes responsible for production of the reduced curcumin derivatives have not been identified. Tetrahydrocurcumin has been shown to have more potent antioxidative activity than curcumin (in and reviewed in ). Int",Escherichia coli K-12 MG1655
ecocyc.PWY-7179,purine deoxyribonucleosides degradation I,EcoCyc,,Escherichia coli K-12 MG1655
