entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,is_exogenous,family_key,display_name,merged_from,complex_type,is_virtual,components,critical_components,assembly_condition,notes
molecule.C00237,small_molecule,CO,CO; Carbon monoxide,low,absent|low|medium|high,KEGG compound: CO; Carbon monoxide,,,KEGG,C00237,KEGG:C00237,false,true,sm:kegg:c00237,CO,molecule.C00237,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00243,small_molecule,Lactose,Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar,low,absent|low|medium|high,KEGG compound: Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar,,,KEGG,C00243,KEGG:C00243,false,true,sm:kegg:c00243,Lactose,molecule.C00243,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00244,small_molecule,Nitrate,Nitrate; Nitric acid,low,absent|low|medium|high,KEGG compound: Nitrate; Nitric acid,,,KEGG,C00244,KEGG:C00244,false,true,sm:kegg:c00244,Nitrate,molecule.C00244,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00245,small_molecule,Taurine,Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid,low,absent|low|medium|high,KEGG compound: Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid,,,KEGG,C00245,KEGG:C00245,false,true,sm:kegg:c00245,Taurine,molecule.C00245,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00247,small_molecule,L-Sorbose,L-Sorbose|L-xylo-Hexulose|L-sorbose,low,absent|low|medium|high,KEGG compound: L-Sorbose; L-xylo-Hexulose,,,KEGG,C00247,KEGG:C00247|EcoCyc:L-sorbose|CHEBI:17266|canonicalized_from:molecule.ecocyc.L-sorbose,false,true,sm:kegg:c00247,L-Sorbose,molecule.C00247,,,,,,Included because it appears in at least one E. coli KEGG pathway. | molecule.ecocyc.L-sorbose: EcoCyc:L-sorbose
molecule.C00259,small_molecule,L-Arabinose,L-Arabinose|L-Arabinopyranose|L-Ara|L-arabinose,low,absent|low|medium|high,KEGG compound: L-Arabinose; L-Arabinopyranose,,,KEGG,C00259,KEGG:C00259|EcoCyc:L-ARABINOSE|CHEBI:6182|LIGAND-CPD:C11476|PUBCHEM:5460291|CHEMSPIDER:4573877|CAS:147-81-9|canonicalized_from:molecule.ecocyc.L-ARABINOSE,false,true,sm:kegg:c00259,L-Arabinose,molecule.C00259,,,,,,Included because it appears in at least one E. coli KEGG pathway. | molecule.ecocyc.L-ARABINOSE: EcoCyc:L-ARABINOSE
molecule.C00261,small_molecule,Benzaldehyde,Benzaldehyde; Benzoic aldehyde,low,absent|low|medium|high,KEGG compound: Benzaldehyde; Benzoic aldehyde,,,KEGG,C00261,KEGG:C00261,false,true,sm:kegg:c00261,Benzaldehyde,molecule.C00261,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00280,small_molecule,Androstenedione,"Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione",low,absent|low|medium|high,"KEGG compound: Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione",,,KEGG,C00280,KEGG:C00280,false,true,sm:kegg:c00280,Androstenedione,molecule.C00280,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00291,small_molecule,Nickel,Nickel,low,absent|low|medium|high,KEGG compound: Nickel,,,KEGG,C00291,KEGG:C00291,false,true,sm:kegg:c00291,Nickel,molecule.C00291,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00292,small_molecule,Aniline,Aniline; Phenylamine; Benzenamine; Arylamine,low,absent|low|medium|high,KEGG compound: Aniline; Phenylamine; Benzenamine; Arylamine,,,KEGG,C00292,KEGG:C00292,false,true,sm:kegg:c00292,Aniline,molecule.C00292,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00300,small_molecule,Creatine,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,low,absent|low|medium|high,KEGG compound: Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,,,KEGG,C00300,KEGG:C00300,false,true,sm:kegg:c00300,Creatine,molecule.C00300,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00314,small_molecule,Pyridoxine,Pyridoxine; Pyridoxol,low,absent|low|medium|high,KEGG compound: Pyridoxine; Pyridoxol,,,KEGG,C00314,KEGG:C00314,false,true,sm:kegg:c00314,Pyridoxine,molecule.C00314,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00319,small_molecule,Sphingosine,Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine,low,absent|low|medium|high,KEGG compound: Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine,,,KEGG,C00319,KEGG:C00319,false,true,sm:kegg:c00319,Sphingosine,molecule.C00319,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00320,small_molecule,Thiosulfate,Thiosulfate; Hyposulfite,low,absent|low|medium|high,KEGG compound: Thiosulfate; Hyposulfite,,,KEGG,C00320,KEGG:C00320,false,true,sm:kegg:c00320,Thiosulfate,molecule.C00320,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00333,small_molecule,D-Galacturonate,D-Galacturonate|D-Galacturonic acid|β-D-galacturonic acid|β-D-galacturonate,low,absent|low|medium|high,KEGG compound: D-Galacturonate; D-Galacturonic acid,,,KEGG,C00333,KEGG:C00333|EcoCyc:CPD-12524|HMDB:HMDB0002545|ZINC:ZINC000004097542|SEED:cpd05262|METANETX:MNXM114564|LIGAND-CPD:C08348|CHEBI:85312|CHEMSPIDER:5360184|PUBCHEM:6992022|canonicalized_from:molecule.ecocyc.CPD-12524,false,true,sm:kegg:c00333,D-Galacturonate,molecule.C00333,,,,,,Included because it appears in at least one E. coli KEGG pathway. | molecule.ecocyc.CPD-12524: EcoCyc:CPD-12524
molecule.C00355,small_molecule,"3,4-Dihydroxy-L-phenylalanine","3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine",low,absent|low|medium|high,"KEGG compound: 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine",,,KEGG,C00355,KEGG:C00355,false,true,sm:kegg:c00355,"3,4-Dihydroxy-L-phenylalanine",molecule.C00355,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00366,small_molecule,Urate,Urate; Uric acid,low,absent|low|medium|high,KEGG compound: Urate; Uric acid,,,KEGG,C00366,KEGG:C00366,false,true,sm:kegg:c00366,Urate,molecule.C00366,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00369,small_molecule,Starch,Starch; Glycogen,low,absent|low|medium|high,KEGG compound: Starch; Glycogen,,,KEGG,C00369,KEGG:C00369,false,true,sm:kegg:c00369,Starch,molecule.C00369,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00372,small_molecule,Dextran,"Dextran; 1,6-alpha-D-Glucan; (1,6-alpha-D-Glucosyl)n; (1,6-alpha-D-Glucosyl)n+1; (1,6-alpha-D-Glucosyl)m; (1,6-alpha-D-Glucosyl)m+1; Dextran 40; Dextran 70; Dextran 75",low,absent|low|medium|high,"KEGG compound: Dextran; 1,6-alpha-D-Glucan; (1,6-alpha-D-Glucosyl)n; (1,6-alpha-D-Glucosyl)n+1; (1,6-alpha-D-Glucosyl)m; (1,6-alpha-D-Glucosyl)m+1; Dextran 40; Dextran 70; Dextran 75",,,KEGG,C00372,KEGG:C00372,false,true,sm:kegg:c00372,Dextran,molecule.C00372,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00378,small_molecule,Thiamine,Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor,low,absent|low|medium|high,KEGG compound: Thiamine; Thiamin; Vitamin B1; Aneurin; Antiberiberi factor,,,KEGG,C00378,KEGG:C00378,false,true,sm:kegg:c00378,Thiamine,molecule.C00378,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00383,small_molecule,Malonate,Malonate; Malonic acid; Propanedioic acid,low,absent|low|medium|high,KEGG compound: Malonate; Malonic acid; Propanedioic acid,,,KEGG,C00383,KEGG:C00383,false,true,sm:kegg:c00383,Malonate,molecule.C00383,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00386,small_molecule,Carnosine,Carnosine; Nalpha-(beta-alanyl)-L-histidine,low,absent|low|medium|high,KEGG compound: Carnosine; Nalpha-(beta-alanyl)-L-histidine,,,KEGG,C00386,KEGG:C00386,false,true,sm:kegg:c00386,Carnosine,molecule.C00386,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00388,small_molecule,Histamine,Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine,low,absent|low|medium|high,KEGG compound: Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine,,,KEGG,C00388,KEGG:C00388,false,true,sm:kegg:c00388,Histamine,molecule.C00388,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00389,small_molecule,Quercetin,"Quercetin; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone",low,absent|low|medium|high,"KEGG compound: Quercetin; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone",,,KEGG,C00389,KEGG:C00389,false,true,sm:kegg:c00389,Quercetin,molecule.C00389,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00392,small_molecule,Mannitol,Mannitol; D-Mannitol,low,absent|low|medium|high,KEGG compound: Mannitol; D-Mannitol,,,KEGG,C00392,KEGG:C00392,false,true,sm:kegg:c00392,Mannitol,molecule.C00392,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00402,small_molecule,D-Aspartate,D-Aspartate; D-Aspartic acid,low,absent|low|medium|high,KEGG compound: D-Aspartate; D-Aspartic acid,,,KEGG,C00402,KEGG:C00402,false,true,sm:kegg:c00402,D-Aspartate,molecule.C00402,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00406,small_molecule,Feruloyl-CoA,Feruloyl-CoA; trans-Feruloyl-CoA; 4-Hydroxy-3-methoxycinnamoyl-CoA; (E)-3-(4-Hydroxy-3-methoxyphenyl)propenoyl-CoA,low,absent|low|medium|high,KEGG compound: Feruloyl-CoA; trans-Feruloyl-CoA; 4-Hydroxy-3-methoxycinnamoyl-CoA; (E)-3-(4-Hydroxy-3-methoxyphenyl)propenoyl-CoA,,,KEGG,C00406,KEGG:C00406,false,true,sm:kegg:c00406,Feruloyl-CoA,molecule.C00406,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00413,small_molecule,Streptomycin,Streptomycin,low,absent|low|medium|high,KEGG compound: Streptomycin,,,KEGG,C00413,KEGG:C00413,false,true,sm:kegg:c00413,Streptomycin,molecule.C00413,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00414,small_molecule,Cyclohexanone,Cyclohexanone,low,absent|low|medium|high,KEGG compound: Cyclohexanone,,,KEGG,C00414,KEGG:C00414,false,true,sm:kegg:c00414,Cyclohexanone,molecule.C00414,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.C00423,small_molecule,trans-Cinnamate,trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate,low,absent|low|medium|high,KEGG compound: trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate,,,KEGG,C00423,KEGG:C00423,false,true,sm:kegg:c00423,trans-Cinnamate,molecule.C00423,,,,,,Included because it appears in at least one E. coli KEGG pathway.
